Part;Value;Device;Package;Description;AVAILABILITY;DESCRIPTION;MANUFACTURER_PART_NUMBER;MF;MP;MPN;OC_FARNELL;OC_NEWARK;PACKAGE;PRICE;PROD_ID;SF_ID;SPICEPREFIX;VALUE;VENDOR
R5;4.7k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;;;;;;;;RES-07857;;;4.7k;
R6;10k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R7;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R8;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R9;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R10;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R11;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R12;1k;10KOHM-0603-1/10W-1%;603;10kΩ resistor;;;;;;;;;;;RES-00824;;;10k;
R13;10k;4.7KOHM-0603-1/10W-1%;603;4.7kΩ resistor;;;;;;;;;;;RES-07857;;;4.7k;
RESET;;SWITCH_PUSHBUTTONC&K_KSS;BTN_CK_KSS;Buttons;;;;;;;;;;;;;;;
SD_CARD;2908-05WB-MG;2908-05WB-MG;3M_2908-05WB-MG;2908-05WB-MG Conn Micro S D Card HDR 8 POS 1.1mm So lder RA SMD T/R 0.5A RoHS;Unavailable; 2908-05WB-MG Conn Micro S D Card HDR 8 POS 1.1mm So lder RA SMD T/R 0.5A RoHS ;;3M;2908-05WB-MG;;;;None;None;;;;;
SONIC1;1X4-BIG;1X4-BIG;1X04-BIG;4-pin connector;;;;;;;;;;;;;;;
SONIC2;1X4-BIG;1X4-BIG;1X04-BIG;4-pin connector;;;;;;;;;;;;;;;
STM32F722;STM32F7X2RXT;STM32F7X2RXT;LQFP64-10X10MM;;;;STM32F7X2RXT;;;;;;;;;;;;STMicroelectronics
TXB0104;TXB0104;TXB0104PWRSOIC14;SO14;4-Bit Bi-Directional Level Shifter;;;;;;;;;;;IC-11329;;;TXB0104;
USB;;USB_MICRO-B_SMT;USB-MICROB;USB Type Micro-B Connector;;;;;;;;;;;CONN-09505;PRT-08533;;;
Y1;8MHz;CRYSTAL-8MHZSMD-5X3.2;CRYSTAL-SMD-5X3.2-4PAD;8MHz Crystal;;;;;;;;;;;XTAL-09431;;;8MHz;
Y2;16MHz;CRYSTAL-16MHZSMD-5X3.2;CRYSTAL-SMD-5X3.2-4PAD;16MHz Crystal;;;;;;;;;;;XTAL-08218;COM-00094;;16MHz;
